Id;R;Rm;Nome;Squadra;Pv;Mv;Fm;Gf;Gs;Rp;Rc;R+;R-;Ass;Amm;Esp;Au
6650;P;Por;Sherri;Cagliari;0;0;0;0;0;0;0;0;0;0;0;0;0
6651;P;Por;Chiorra;Empoli;0;0;0;0;0;0;0;0;0;0;0;0;0
6661;P;Por;Chichizola;Parma;0;0;0;0;0;0;0;0;0;0;0;0;0
6662;P;Por;Corvi;Parma;0;0;0;0;0;0;0;0;0;0;0;0;0
6671;P;Por;Grandi;Venezia;0;0;0;0;0;0;0;0;0;0;0;0;0
6813;P;Por;Torriani;Milan;0;0;0;0;0;0;0;0;0;0;0;0;0
6824;P;Por;Marin Re.;Roma;0;0;0;0;0;0;0;0;0;0;0;0;0
6842;P;Por;Sava;Udinese;0;0;0;0;0;0;0;0;0;0;0;0;0
254;D;E;Dimarco;Inter;3;6,17;6,17;0;0;0;0;0;0;0;0;0;0
4292;D;"Ds;E";Hernandez T.;Milan;3;6;6;0;0;0;0;0;0;0;0;0;0
2816;D;"B;Dd;E";Di Lorenzo;Napoli;3;5,67;6,67;1;0;0;0;0;0;0;0;0;0
2120;D;Dc;Bastoni;Inter;3;6,5;6,5;0;0;0;0;0;0;0;0;0;0
2724;D;Dc;Buongiorno;Napoli;2;6,25;6,25;0;0;0;0;0;0;0;0;0;0
2788;D;Dc;Bremer;Juventus;3;6,33;6,17;0;0;0;0;0;0;0;1;0;0
5513;D;E;Dumfries;Inter;2;6;6;0;0;0;0;0;0;0;0;0;0
2160;D;E;Gosens;Fiorentina;1;7;10;1;0;0;0;0;0;0;0;0;0
4177;D;"Dd;Dc";Pavard;Inter;2;6,5;7;0;0;0;0;0;0;1;0;0;0
1852;D;E;Spinazzola;Napoli;3;6;6,33;0;0;0;0;0;0;1;0;0;0
4237;D;"B;Dd;Ds";Danilo;Juventus;0;0;0;0;0;0;0;0;0;0;0;0;0
4751;D;Dc;Tomori;Milan;3;5,67;5,67;0;0;0;0;0;0;0;0;0;0
4887;D;E;Bellanova;Atalanta;2;6,25;6,25;0;0;0;0;0;0;0;0;0;0
5354;D;E;Ruggeri;Atalanta;3;6,17;6,5;0;0;0;0;0;0;1;0;0;0
2296;D;Dc;Mancini;Roma;3;6,5;6,33;0;0;0;0;0;0;0;1;0;0
4409;D;Dc;Rrahmani;Napoli;3;5,67;5,5;0;0;0;0;0;0;0;1;0;0
4816;D;"B;Dd;Ds";Emerson Royal;Milan;2;5;4,75;0;0;0;0;0;0;0;1;0;0
5022;D;Dc;Pavlovic;Milan;2;6,5;7,75;1;0;0;0;0;0;0;1;0;0
5520;D;"Dd;Ds;E";Cambiaso;Juventus;3;6,5;7,33;1;0;0;0;0;0;0;1;0;0
513;D;Dc;Acerbi;Inter;3;5,83;5,83;0;0;0;0;0;0;0;0;0;0
554;D;E;Zappacosta;Atalanta;3;5,83;6,17;0;0;0;0;0;0;1;0;0;0
2525;D;"B;Dd;E";Darmian;Inter;3;6,33;7,33;1;0;0;0;0;0;0;0;0;0
4772;D;"Ds;E";Angelino;Roma;3;5,83;5,83;0;0;0;0;0;0;0;0;0;0
4807;D;Dc;Hermoso;Roma;0;0;0;0;0;0;0;0;0;0;0;0;0
5323;D;Dc;Martinez Quarta;Fiorentina;2;5,75;5,75;0;0;0;0;0;0;0;0;0;0
5578;D;"Dd;Dc";Kossounou;Atalanta;0;0;0;0;0;0;0;0;0;0;0;0;0
6642;D;Dc;Coco;Torino;3;6,33;7,33;1;0;0;0;0;0;0;0;0;0
393;D;Dc;Luperto;Cagliari;3;6,33;6,67;0;0;0;0;0;0;1;0;0;0
460;D;Dc;Romagnoli;Lazio;3;5,67;5,5;0;0;0;0;0;0;0;1;0;0
4284;D;"E;M";Sergi Roberto;Como;2;6;6;0;0;0;0;0;0;0;0;0;0
4317;D;Dc;N'Dicka;Roma;3;6,33;6,33;0;0;0;0;0;0;0;0;0;0
5514;D;"Ds;Dc";Vasquez;Genoa;3;5,67;5,67;0;0;0;0;0;0;0;0;0;0
5835;D;"Dd;Dc";Baschirotto;Lecce;3;5,5;5,5;0;0;0;0;0;0;0;0;0;0
5847;D;Dc;Bijol;Udinese;3;6,83;6,67;0;0;0;0;0;0;0;1;0;0
5877;D;E;Carlos Augusto;Inter;3;6;6;0;0;0;0;0;0;0;0;0;0
5885;D;"Dd;E";Dodo';Fiorentina;3;5,83;5,67;0;0;0;0;0;0;0;1;0;0
252;D;"B;Ds;E";Biraghi;Fiorentina;3;5,83;6,83;1;0;0;0;0;0;0;0;0;0
2602;D;Dc;Varane;Como;0;0;0;0;0;0;0;0;0;0;0;0;0
2640;D;"B;Ds;E";Kolasinac;Atalanta;0;0;0;0;0;0;0;0;0;0;0;0;0
4210;D;Dc;Mina;Cagliari;2;5,75;5,75;0;0;0;0;0;0;0;0;0;0
4734;D;"Ds;E";Miranda J.;Bologna;2;6;6;0;0;0;0;0;0;0;0;0;0
5010;D;Dc;Ismajli;Empoli;3;6,5;6,5;0;0;0;0;0;0;0;0;0;0
5449;D;"Ds;E";Parisi;Fiorentina;2;6;6;0;0;0;0;0;0;0;0;0;0
5498;D;Dc;Casale;Bologna;2;6;6;0;0;0;0;0;0;0;0;0;0
5603;D;Dc;Pongracic;Fiorentina;1;4,5;3,5;0;0;0;0;0;0;0;0;1;0
5677;D;Dc;Perez N.;Udinese;2;6,25;6,25;0;0;0;0;0;0;0;0;0;0
5678;D;"Dd;E";Holm;Bologna;0;0;0;0;0;0;0;0;0;0;0;0;0
5831;D;Dc;Gatti;Juventus;3;6,33;6,33;0;0;0;0;0;0;0;0;0;0
5899;D;Dc;Gigot;Lazio;0;0;0;0;0;0;0;0;0;0;0;0;0
6046;D;Dc;Hien;Atalanta;2;6;5,75;0;0;0;0;0;0;0;1;0;0
6202;D;Dc;Beukema;Bologna;3;6;6,33;0;0;0;0;0;0;1;0;0;0
6230;D;Dc;Dossena;Como;2;6;6,5;0;0;0;0;0;0;1;0;0;0
6480;D;"Dd;E";Tchatchoua;Verona;3;6,33;7,17;1;0;0;0;0;0;0;1;0;0
49;D;"B;Ds;E";Masina;Torino;3;6,17;6,5;0;0;0;0;0;0;1;0;0;0
322;D;Dc;De Vrij;Inter;0;0;0;0;0;0;0;0;0;0;0;0;0
770;D;"Ds;E";Pezzella Giu.;Empoli;3;6,33;6,5;0;0;0;0;0;0;1;1;0;0
787;D;Dc;Djimsiti;Atalanta;3;5;4,17;0;0;0;0;0;0;0;1;0;1
791;D;"Dd;Ds;E";Sabelli;Genoa;3;6;6,33;0;0;0;0;0;0;1;0;0;0
2285;D;Dc;Bani;Genoa;2;5,75;5,75;0;0;0;0;0;0;0;0;0;0
4245;D;Dc;Smalling;Roma;0;0;0;0;0;0;0;0;0;0;0;0;0
4378;D;"Ds;Dc";Ranieri L.;Fiorentina;2;5,5;6;0;0;0;0;0;0;1;0;0;0
4530;D;"Ds;E";Kyriakopoulos;Monza;3;6;6,33;0;0;0;0;0;0;1;0;0;0
4665;D;Dc;Maripan;Torino;0;0;0;0;0;0;0;0;0;0;0;0;0
4904;D;Dc;Mari';Monza;3;6;5,83;0;0;0;0;0;0;0;1;0;0
4982;D;Dc;Erlic;Bologna;2;6,5;6,5;0;0;0;0;0;0;0;0;0;0
4994;D;"B;Dd;E";Vojvoda;Torino;3;6,17;5,83;0;0;0;0;0;0;0;2;0;0
5324;D;"B;Dd;Ds";Godfrey;Atalanta;1;6;6;0;0;0;0;0;0;0;0;0;0
5435;D;"Ds;E";Moreno Alb.;Como;3;5,5;5,33;0;0;0;0;0;0;0;1;0;0
5526;D;Dc;Scalvini;Atalanta;0;0;0;0;0;0;0;0;0;0;0;0;0
5620;D;"Ds;E";Tavares N.;Lazio;1;7,5;9,5;0;0;0;0;0;0;2;0;0;0
5840;D;"B;Ds;E";Olivera;Napoli;3;5,67;5,67;0;0;0;0;0;0;0;0;0;0
5862;D;"Ds;E";Valeri;Parma;2;6,25;6,75;0;0;0;0;0;0;1;0;0;0
6039;D;"B;Ds;E";Cabal;Juventus;3;6,5;6,5;0;0;0;0;0;0;0;0;0;0
6042;D;Dc;Lucumi';Bologna;2;5,5;5,25;0;0;0;0;0;0;0;1;0;0
6047;D;"Dd;E";Ehizibue;Udinese;3;6,5;6,67;0;0;0;0;0;0;1;1;0;0
6066;D;"Dd;Dc";Posch;Bologna;3;5,5;5,33;0;0;0;0;0;0;0;1;0;0
6257;D;"Ds;E";Dorgu;Lecce;3;5,33;5;0;0;0;0;0;0;0;0;1;0
6638;D;Dc;Marin R.;Napoli;0;0;0;0;0;0;0;0;0;0;0;0;0
6820;D;E;Sosa B.;Torino;1;5,5;5,5;0;0;0;0;0;0;0;0;0;0
226;D;Dc;Izzo;Monza;3;5,83;5,5;0;0;0;0;0;0;0;2;0;0
357;D;"Dd;E";Calabria;Milan;2;5,25;5,25;0;0;0;0;0;0;0;0;0;0
729;D;"Dd;E";Pereira P.;Monza;1;6,5;7,5;0;0;0;0;0;0;1;0;0;0
2130;D;E;Hateboer;Atalanta;0;0;0;0;0;0;0;0;0;0;0;0;0
2181;D;Dc;Palomino;Cagliari;2;6;6;0;0;0;0;0;0;0;0;0;0
2188;D;"Dd;Ds;E";Marusic;Lazio;3;5,5;5,5;0;0;0;0;0;0;0;0;0;0
2263;D;"Dd;E";Lazzari;Lazio;3;6,17;6,17;0;0;0;0;0;0;0;0;0;0
4433;D;"Dd;Ds;E";Zortea;Cagliari;0;0;0;0;0;0;0;0;0;0;0;0;0
4458;D;"Dd;E";Candela;Venezia;2;6;6;0;0;0;0;0;0;0;0;0;0
4461;D;"B;Dd;E";Zappa;Cagliari;3;5,67;5,5;0;0;0;0;0;0;0;1;0;0
5527;D;"Dd;E";Zanoli;Genoa;2;6;6;0;0;0;0;0;0;0;0;0;0
5626;D;"B;Dd;Ds";Guilbert;Lecce;1;6,5;6,5;0;0;0;0;0;0;0;0;0;0
5718;D;Dc;Viti;Empoli;3;6,17;6,17;0;0;0;0;0;0;0;0;0;0
5867;D;"Dd;E";Gendrey;Lecce;2;5,25;5,25;0;0;0;0;0;0;0;0;0;0
6041;D;Dc;Schuurs;Torino;0;0;0;0;0;0;0;0;0;0;0;0;0
6426;D;E;Pedersen;Torino;1;6;5,5;0;0;0;0;0;0;0;1;0;0
6533;D;Dc;Giannetti L.;Udinese;3;6,33;7;1;0;0;0;0;0;0;2;0;0
6639;D;"Ds;E";Frese;Verona;3;5,83;5,83;0;0;0;0;0;0;0;0;0;0
6663;D;Dc;Circati;Parma;3;6,17;6;0;0;0;0;0;0;0;1;0;0
6896;D;"Dd;E";Van Der Brempt;Como;1;6,5;6,5;0;0;0;0;0;0;0;0;0;0
294;D;Dc;Rugani;Juventus;0;0;0;0;0;0;0;0;0;0;0;0;0
1952;D;"Dd;Ds;E";Zampano;Venezia;3;6;5,83;0;0;0;0;0;0;0;1;0;0
2593;D;"Ds;E";Martin;Genoa;3;6,17;6,17;0;0;0;0;0;0;0;0;0;0
4385;D;E;Lazaro;Torino;3;6;6,17;0;0;0;0;0;0;1;1;0;0
4421;D;"Ds;E";Augello;Cagliari;3;5,67;5,67;0;0;0;0;0;0;0;0;0;0
4493;D;Dc;Dawidowicz;Verona;3;5,67;5,5;0;0;0;0;0;0;0;1;0;0
4502;D;"Ds;E";Gallo;Lecce;3;5,67;5,5;0;0;0;0;0;0;0;1;0;0
4925;D;"Ds;Dc";Carboni A.;Monza;1;6;6;0;0;0;0;0;0;0;0;0;0
4958;D;"Ds;Dc";Caldirola;Monza;3;5,67;5,67;0;0;0;0;0;0;0;0;0;0
5532;D;"Ds;E";Bradaric;Verona;0;0;0;0;0;0;0;0;0;0;0;0;0
5554;D;"Dd;Dc";Daniliuc;Verona;1;6;6;0;0;0;0;0;0;0;0;0;0
5555;D;"Ds;E";Kamara H.;Udinese;2;5,75;5,25;0;0;0;0;0;0;0;0;1;0
5739;D;"Dd;Dc";De Winter;Genoa;3;5,67;5,33;0;0;0;0;0;0;0;2;0;0
5764;D;Dc;Coppola D.;Verona;3;6;5,83;0;0;0;0;0;0;0;1;0;0
5838;D;"Dd;Ds;E";Birindelli;Monza;2;5,75;5,75;0;0;0;0;0;0;0;0;0;0
6235;D;"Dd;Ds;E";Kayode;Fiorentina;1;6;6;0;0;0;0;0;0;0;0;0;0
6245;D;"Dd;Dc";Vogliacco;Genoa;3;6,17;7,17;1;0;0;0;0;0;0;0;0;0
6664;D;"B;Dd;E";Delprato;Parma;2;6,25;5;0;2;0;0;0;0;0;1;0;0
6672;D;Dc;Idzes;Venezia;2;6,5;6,5;0;0;0;0;0;0;0;0;0;0
6673;D;"B;Ds;E";Sverko;Venezia;3;5,83;5,83;0;0;0;0;0;0;0;0;0;0
6885;D;"Dd;E";Abdulhamid;Roma;0;0;0;0;0;0;0;0;0;0;0;0;0
256;D;"Ds;Dc";Juan Jesus;Napoli;1;4,5;4,5;0;0;0;0;0;0;0;0;0;0
327;D;"Dd;Dc";Patric;Lazio;2;5,25;5;0;0;0;0;0;0;0;1;0;0
695;D;Dc;Toloi;Atalanta;1;5,5;5,5;0;0;0;0;0;0;0;0;0;0
697;D;E;Cuadrado;Atalanta;0;0;0;0;0;0;0;0;0;0;0;0;0
2653;D;"Ds;E";Lykogiannis;Bologna;2;6;6;0;0;0;0;0;0;0;0;0;0
4263;D;Dc;Kabasele;Udinese;2;6,25;6,25;0;0;0;0;0;0;0;0;0;0
4374;D;Dc;Walukiewicz;Torino;2;5,75;5,75;0;0;0;0;0;0;0;0;0;0
4657;D;"Dd;E";Celik;Roma;3;5,67;5,67;0;0;0;0;0;0;0;0;0;0
5067;D;E;Bakker;Atalanta;1;6;6;0;0;0;0;0;0;0;0;0;0
5327;D;Dc;Osorio;Parma;1;5,5;5,5;0;0;0;0;0;0;0;0;0;0
5406;D;"Dd;E";Di Pardo;Cagliari;0;0;0;0;0;0;0;0;0;0;0;0;0
5450;D;"Dd;E";Stojanovic;Empoli;0;0;0;0;0;0;0;0;0;0;0;0;0
5481;D;E;Mazzocchi;Napoli;3;5,5;5,33;0;0;0;0;0;0;0;1;0;0
5484;D;Dc;Svoboda;Venezia;3;5,67;5,67;0;0;0;0;0;0;0;0;0;0
5833;D;Dc;Gila;Lazio;0;0;0;0;0;0;0;0;0;0;0;0;0
6217;D;Dc;Bisseck;Inter;1;4,5;4,5;0;0;0;0;0;0;0;0;0;0
6231;D;"Dd;Ds;E";Azzi;Cagliari;3;6;5,83;0;0;0;0;0;0;0;1;0;0
6256;D;"B;Dd;E";Ferreira J.;Udinese;0;0;0;0;0;0;0;0;0;0;0;0;0
6396;D;Dc;Natan;Napoli;0;0;0;0;0;0;0;0;0;0;0;0;0
6485;D;Dc;Kristensen T.;Udinese;0;0;0;0;0;0;0;0;0;0;0;0;0
6632;D;Dc;Gaspar K.;Lecce;3;5,67;6;0;0;0;0;0;0;1;0;0;0
6665;D;"Dd;Ds;E";Coulibaly W.;Parma;3;6,17;6,17;0;0;0;0;0;0;0;0;0;0
6802;D;"B;Dd;E";Savona;Juventus;3;6,33;7,33;1;0;0;0;0;0;0;0;0;0
6890;D;Dc;Moreno M.;Fiorentina;0;0;0;0;0;0;0;0;0;0;0;0;0
6893;D;Dc;Kempf;Como;1;6;6;0;0;0;0;0;0;0;0;0;0
140;D;"Dd;Ds;E";Hysaj;Lazio;0;0;0;0;0;0;0;0;0;0;0;0;0
253;D;"B;Dd;Ds";D'Ambrosio;Monza;1;6;6;0;0;0;0;0;0;0;0;0;0
1891;D;"Dd;Dc";Ceccherini;Verona;0;0;0;0;0;0;0;0;0;0;0;0;0
2769;D;Dc;Magnani;Verona;2;5,75;5,75;0;0;0;0;0;0;0;0;0;0
4401;D;Dc;Gabbia;Milan;0;0;0;0;0;0;0;0;0;0;0;0;0
4976;D;"Dd;Dc";Kalulu;Juventus;0;0;0;0;0;0;0;0;0;0;0;0;0
5353;D;Dc;Balogh;Parma;3;6,5;6,33;0;0;0;0;0;0;0;1;0;0
5447;D;Dc;Altare;Venezia;3;5,83;5;0;0;0;0;0;0;0;1;0;1
5480;D;"Dd;E";Ebuehi;Empoli;0;0;0;0;0;0;0;0;0;0;0;0;0
5804;D;"Ds;E";Cacace;Empoli;2;6;5,75;0;0;0;0;0;0;0;1;0;0
5848;D;"Dd;E";Ebosele;Udinese;0;0;0;0;0;0;0;0;0;0;0;0;0
5900;D;Dc;Toure' I.s.;Udinese;0;0;0;0;0;0;0;0;0;0;0;0;0
6055;D;Dc;Thiaw;Milan;1;4,5;2,5;0;0;0;0;0;0;0;0;0;1
6211;D;"Ds;E";Zemura;Udinese;1;6;5,5;0;0;0;0;0;0;0;1;0;0
6464;D;Dc;Wieteska;Cagliari;1;6,5;6,5;0;0;0;0;0;0;0;0;0;0
6654;D;"Dd;E";Iovine;Como;2;5,5;5,5;0;0;0;0;0;0;0;0;0;0
6814;D;"Dd;E";Norton-Cuffy;Genoa;0;0;0;0;0;0;0;0;0;0;0;0;0
6874;D;Dc;Palacios T.;Inter;0;0;0;0;0;0;0;0;0;0;0;0;0
6883;D;Dc;Jean;Lecce;1;6;6;0;0;0;0;0;0;0;0;0;0
6892;D;"Dd;Dc";Schingtienne;Venezia;0;0;0;0;0;0;0;0;0;0;0;0;0
134;D;"Ds;Dc";Barba;Como;2;5;5;0;0;0;0;0;0;0;0;0;0
142;D;E;Mario Rui;Napoli;0;0;0;0;0;0;0;0;0;0;0;0;0
418;D;Dc;Goldaniga;Como;1;5;4,5;0;0;0;0;0;0;0;1;0;0
487;D;"Dd;E";De Silvestri;Bologna;0;0;0;0;0;0;0;0;0;0;0;0;0
581;D;"Dd;E";Faraoni;Verona;0;0;0;0;0;0;0;0;0;0;0;0;0
2192;D;Dc;Bonifazi;Lecce;0;0;0;0;0;0;0;0;0;0;0;0;0
2728;D;"Ds;E";Pellegrini Lu.;Lazio;0;0;0;0;0;0;0;0;0;0;0;0;0
2737;D;Dc;Bettella;Monza;0;0;0;0;0;0;0;0;0;0;0;0;0
4386;D;"Ds;E";Sala M.;Como;1;5;4,5;0;0;0;0;0;0;0;1;0;0
4495;D;Dc;Kumbulla;Roma;0;0;0;0;0;0;0;0;0;0;0;0;0
5307;D;Dc;Valenti;Parma;0;0;0;0;0;0;0;0;0;0;0;0;0
5856;D;"Dd;E";Sambia;Empoli;0;0;0;0;0;0;0;0;0;0;0;0;0
6149;D;"Ds;E";Carboni F.;Venezia;0;0;0;0;0;0;0;0;0;0;0;0;0
6438;D;"Dd;Dc";Hatzidiakos;Cagliari;0;0;0;0;0;0;0;0;0;0;0;0;0
6495;D;Dc;Comuzzo;Fiorentina;3;5,67;5,67;0;0;0;0;0;0;0;0;0;0
6537;D;"Dd;Dc";Goglichidze;Empoli;1;6,5;6,5;0;0;0;0;0;0;0;0;0;0
6647;D;"Ds;E";Dahl;Roma;0;0;0;0;0;0;0;0;0;0;0;0;0
6679;D;"Dd;Ds;E";Esteves G.;Udinese;0;0;0;0;0;0;0;0;0;0;0;0;0
6681;D;"Dd;E";Sagrado;Venezia;1;6;5,5;0;0;0;0;0;0;0;1;0;0
6806;D;"Dd;Ds;Dc";Pelmard;Lecce;0;0;0;0;0;0;0;0;0;0;0;0;0
6826;D;E;Dembele' A.;Torino;2;6;6;0;0;0;0;0;0;0;1;0;0
6887;D;Dc;Leoni;Parma;0;0;0;0;0;0;0;0;0;0;0;0;0
358;D;"Dd;Ds;E";De Sciglio;Empoli;0;0;0;0;0;0;0;0;0;0;0;0;0
2203;D;"Ds;E";Di Chiara;Parma;0;0;0;0;0;0;0;0;0;0;0;0;0
4438;D;"Dd;Ds;E";Cassandro;Como;0;0;0;0;0;0;0;0;0;0;0;0;0
5533;D;"Dd;Dc";Djalo';Juventus;0;0;0;0;0;0;0;0;0;0;0;0;0
5695;D;"Ds;E";Haps;Venezia;1;5,5;5;0;0;0;0;0;0;0;1;0;0
5701;D;Dc;Obert;Cagliari;0;0;0;0;0;0;0;0;0;0;0;0;0
5812;D;"Dd;E";Terracciano F.;Milan;1;5;4,5;0;0;0;0;0;0;0;1;0;0
5994;D;"Ds;Dc";Ebosse;Udinese;0;0;0;0;0;0;0;0;0;0;0;0;0
6021;D;"Dd;Dc";Abankwah;Udinese;0;0;0;0;0;0;0;0;0;0;0;0;0
6244;D;Dc;Matturro;Genoa;0;0;0;0;0;0;0;0;0;0;0;0;0
6284;D;Dc;Okou;Verona;0;0;0;0;0;0;0;0;0;0;0;0;0
6407;D;"Dd;Ds;E";Corazza;Bologna;0;0;0;0;0;0;0;0;0;0;0;0;0
6474;D;Dc;Sazonov;Empoli;1;5;5;0;0;0;0;0;0;0;0;0;0
6551;D;Dc;Ilic M.;Bologna;0;0;0;0;0;0;0;0;0;0;0;0;0
6612;D;"Dd;Dc";Dellavalle;Torino;0;0;0;0;0;0;0;0;0;0;0;0;0
6631;D;Dc;Ghilardi;Verona;0;0;0;0;0;0;0;0;0;0;0;0;0
6636;D;"Ds;Dc";Veroli;Cagliari;0;0;0;0;0;0;0;0;0;0;0;0;0
6637;D;"Dd;E";Kovacik;Como;0;0;0;0;0;0;0;0;0;0;0;0;0
6649;D;"Dd;E";Sangare' B.;Roma;0;0;0;0;0;0;0;0;0;0;0;0;0
6659;D;Dc;Lucchesi;Venezia;0;0;0;0;0;0;0;0;0;0;0;0;0
6660;D;Dc;Marcandalli;Genoa;0;0;0;0;0;0;0;0;0;0;0;0;0
6803;D;"Ds;E";Rouhi;Juventus;0;0;0;0;0;0;0;0;0;0;0;0;0
6809;D;Dc;Marianucci;Empoli;0;0;0;0;0;0;0;0;0;0;0;0;0
6832;D;E;Palestra;Atalanta;1;6;6;0;0;0;0;0;0;0;0;0;0
2423;C;"T;A";Pulisic;Milan;3;6;7,33;1;0;0;0;0;0;1;0;0;0
